Day,GrocerySales
1,8418.59
2,8447.47
3,8336.49
4,8579.17
5,8524.31
6,8623.5
7,8320.11
8,8313.53
9,8461.34
10,8497.24
11,8674.65
12,8354.63
13,8526.67
14,8767.31
15,8689.53
16,8623.62
17,8527.89
18,8450.51
19,8629.84
20,8840.12
21,8768.17
22,8891.15
23,8851.8
24,8734.27
25,8719.43
26,8481.94
27,8383.21
28,8343.63
29,8333.17
30,8497.34
31,8326.74
32,8542.81
33,8544.43
34,8330.0
35,8005.84
36,8269.73
37,8385.14
38,8259.88
39,8411.89
40,7967.5
41,7861.130000000001
42,7857.489999999999
43,7861.880000000001
44,7791.16
45,7870.36
46,7789.55
47,7789.31
48,7668.63
49,7498.810000000001
50,7365.83
51,7396.36
52,7507.75
53,7386.67
54,8850.22
55,8818.8
56,8514.96
57,8759.27
58,8716.09
59,8531.38
60,8555.73
61,8582.61
62,8220.62
63,8060.37
64,8264.02
65,8073.39
66,8033.41
67,8130.92
68,8977.75
69,8873.18
70,8668.14
71,8631.88
72,8921.67
73,8975.52
74,8920.54
75,8933.95
76,8887.34
77,8679.44
78,8902.09
79,8847.79
80,8860.96
81,8742.61
82,8814.77
83,8797.31
84,8760.83
85,8694.32
86,8525.75
87,8566.44
88,8566.34
89,8816.94
90,8895.78
91,8842.24
92,8663.83
93,8881.29
94,8840.29
95,8305.75
96,8298.53
97,8225.72
98,7818.88
99,7901.22
100,7773.4
101,7627.04
102,7671.0
103,7608.99
104,7543.56
105,7742.56
106,7690.740000000001
107,7645.900000000001
108,7286.52
109,7726.48
110,7690.65
111,7509.97
112,7677.09
113,7426.04
114,7042.67
115,7186.41
116,7333.94
117,6895.51
118,7028.23
119,6766.37
120,6777.93
121,8140.23
122,8067.01
123,8290.87
124,8160.22
125,8234.93
126,8097.23
127,8113.46
128,7984.16
129,7827.990000000001
130,7998.88
131,7777.79
132,7652.93
133,7819.490000000001
134,8357.5
135,8466.65
136,8512.16
137,8748.9
138,8495.31
139,8706.42
140,8704.04
141,8741.24
142,8687.74
143,8357.45
144,8463.36
145,8652.51
146,8574.33
147,8447.78743300423
148,8654.317433004231
149,8481.087433004232
150,8410.477433004231
151,8564.69743300423
152,8761.53743300423
153,8673.44743300423
154,8527.35743300423
155,8607.237433004231
156,8727.27743300423
157,8398.60743300423
158,8438.427433004232
159,8530.52743300423
160,9033.28
161,8834.53
162,9137.76
163,8810.94
164,8921.68
165,9110.39
166,9198.97
167,8951.99
168,9054.0
169,9015.32
170,9099.88
171,9136.03
172,9140.61
173,8717.92
174,8854.64
175,8758.95
176,8864.43
177,8804.02
178,8660.67
179,8862.45
180,8550.54
181,8396.13
182,8510.4
183,8384.2
184,8442.21
185,8242.29
186,8113.34
187,8172.61
188,7826.22
189,7931.52
190,7863.659999999999
191,8000.13
192,7742.26
193,7787.02
194,8123.329999999999
195,7956.01
196,8117.72
197,7679.54
198,7408.77
199,7680.49
200,7822.24
201,7401.9
202,7549.030000000001
203,7597.330000000001
204,7876.87
205,7640.1
206,7662.78
207,7880.89
208,7511.839999999999
209,7503.090000000001
210,7637.55
211,8706.007433004232
212,8471.18
213,8162.21
214,8206.11
215,8156.05
216,8315.46
217,8180.43
218,8358.79
219,8038.669999999999
220,8161.51
221,8168.700000000001
222,7895.52
223,8071.06
224,8049.87
225,8456.51
226,8342.68
227,8395.88
228,8345.97
229,8625.02
230,8476.75
231,8425.69
232,8673.53
233,8433.31
234,8447.27
235,8384.01
236,8682.86
237,8383.98
238,8522.497433004231
239,8643.667433004231
240,8455.85743300423
241,8404.017433004232
242,8426.927433004232
243,8546.267433004232
244,8631.347433004232
245,8448.927433004232
246,8395.267433004232
247,8627.36743300423
248,8744.12743300423
249,8544.63743300423
250,8418.227433004231
251,8711.497433004231
252,8469.737433004231
253,8741.71743300423
254,8726.54743300423
255,8425.87743300423
256,8533.667433004231
257,8482.597433004232
258,8763.897433004231
259,8724.10743300423
260,8742.927433004232
261,8514.87743300423
262,8492.817433004231
263,8741.497433004231
264,8846.74
265,8712.88
266,8966.02
267,8943.54
268,8658.68
269,8874.38
270,8854.34
271,8912.62
272,8852.59
273,8403.79743300423
274,8517.75
275,8687.37
276,8527.76
277,8524.02
278,8177.73
279,7906.48
280,7991.06
281,8005.05
282,8163.58
283,8099.220000000001
284,8326.14
285,8770.94743300423
286,7614.19
287,7802.72
288,7611.92
289,7271.8
290,7776.22
291,7899.29
292,7674.61
293,7732.2300000000005
294,7857.43
295,8593.347433004232
296,7584.6
297,7629.119999999999
298,7590.11
299,7475.93
300,7810.370000000001
301,7691.300000000001
302,7638.23
303,8195.05
304,8429.84
305,8210.79
306,8270.18
307,8103.9800000000005
308,8429.96
309,8290.61
310,8335.76
311,8473.26
312,8506.01
313,8514.72
314,8548.35
315,8251.72
316,8203.63
317,8363.47
318,8483.69
319,8204.11
320,8518.07
321,8559.73
322,8372.3
323,8275.93
324,8789.05
325,8586.45
326,8705.95
327,8560.08
328,8628.18
329,8614.9
330,8565.23
331,8648.48
332,8460.05
333,8753.76
334,8761.76
335,8720.62
336,8723.6
337,8777.46
338,8532.88
339,8444.97
340,8768.41
341,8729.64
342,8724.74
343,8768.45
344,8512.72
345,8668.46
346,8849.96
347,8956.74
348,8677.24
349,8742.85
350,8820.26
351,8767.52
352,8710.77
353,8677.98
354,8707.12
355,8705.17
356,8836.93
357,8895.35
358,8776.3
359,8845.21
360,8837.38
361,8987.64
362,8817.57
363,8965.68
364,9019.19
365,9016.66
366,8898.79
367,9144.25
368,8793.61
369,8813.77
370,9008.8
371,9037.4
372,8791.08
373,8906.89
374,8971.28
375,8804.38
376,8745.35
377,9035.14
378,8718.88
379,8880.5
380,9039.68
381,9156.73
382,8963.57
383,9039.73
384,8986.55
385,9032.47
386,8808.94
387,9053.27
388,8766.99
389,8848.9
390,8746.88
391,9070.48
392,8782.22
393,8831.8
394,8871.2
395,8749.64
396,8699.24
397,8704.927433004232
398,8689.46
399,8386.07
400,8548.12
401,8664.38
402,8678.02
403,8702.41
404,8676.78
405,8678.88
406,8644.05
407,8453.69
408,8453.35
409,8810.68
410,8658.27
411,8703.43
412,8604.88
413,8575.49
414,8566.71
415,8512.47
416,8635.24
417,8618.88
418,8780.75
419,8748.91
420,8575.98
421,8765.68
422,8663.16
423,8604.36
424,8800.05
425,8707.58
426,8749.14
427,8723.72
428,8628.97
429,8559.23
430,8696.14
431,8468.16
432,8436.27
433,8508.47
434,8783.46
435,8697.09
436,8611.56
437,8771.77
438,8801.96
439,8570.86
440,8308.05
441,8381.28
442,8539.77
443,8556.58
444,8481.31
445,8833.87
446,8601.02
447,8886.49
448,8973.66
449,8689.85
450,8526.83
451,8833.18
452,8729.95
453,8638.21
454,9143.65
455,9122.25
456,9118.83
457,8831.82
458,8815.85
459,9053.61
460,8796.69
461,8889.98
462,9023.04
463,9145.24
464,8935.57
465,8808.61
466,8762.39
467,8945.61
468,8886.24
469,8860.99
470,9117.61
471,8970.38
472,8814.07
473,8802.49
474,9054.36
475,8804.78
476,9092.92
477,9056.33
478,9166.56
479,9043.52
480,9005.41
481,9087.66
482,8806.51
483,8848.71
484,8917.63
485,8997.28
486,8407.807433004231
487,8798.49
488,8422.68743300423
489,9076.51
490,8480.60743300423
491,9081.48
492,8493.347433004232
493,8500.27743300423
494,8844.54
495,8305.02
496,8477.84
497,8491.48
498,8604.79
499,8279.12
500,8593.54
501,8646.73
502,8588.43
503,8592.25
504,8576.82
505,8393.07
506,8458.74
507,8588.06
508,8652.2
509,8472.15
510,8691.6
511,8561.73
512,8694.41
513,8741.2
514,8695.26
515,8450.04
516,8711.17
517,8761.81
518,8970.92
519,8766.72
520,8844.29
521,8644.95
522,8589.18
523,8629.85
524,8550.19
525,8509.16
526,8452.32
527,8661.93
528,8442.83
529,8591.97
530,8717.38
531,8755.06
532,8697.7
533,8417.71
534,8438.75
535,8317.56
536,8510.06
537,8220.67
538,8412.62
539,8312.23
540,8492.92
541,8415.2
542,8277.67
543,8712.49
544,8662.52
545,8689.63
546,8462.77
547,8473.36
548,8295.04
549,8043.32
550,8041.109999999999
551,8850.96
552,8855.48
553,8677.56
554,8748.51
555,9089.47
556,8780.52
557,8927.32
558,9127.92
559,8911.94
560,9070.2
561,8896.07
562,8897.89
563,8893.06
564,8702.28
565,8857.12
566,9012.68
567,8960.53
568,8859.49
569,8860.07
570,8770.59
571,8925.03
572,8961.06
573,8954.16
574,8994.06
575,9055.34
576,8975.52
577,8954.66
578,8859.3
579,8738.22
580,8946.88
581,8984.3
582,9083.42
583,8922.16
584,8994.28
585,8824.37
586,8867.27
587,8765.83
588,9065.68
589,8968.91
590,8752.27
591,8998.44
592,8998.0
593,8907.64
594,9143.67
595,8836.85
596,8802.92
597,9012.25
598,9026.09
599,9012.07
600,9040.92
601,9051.3
602,8988.03
603,8606.18743300423
604,8973.76
605,8946.17
606,9138.9
607,9012.11
608,8800.41
609,8697.11
610,9080.03
611,9053.09
612,9021.53
613,9083.78
614,8879.25
615,9041.34
616,8798.81
617,8907.75
618,8824.76
619,8997.66
620,8885.79
621,8898.75
622,8788.59
623,8830.99
624,8911.24
625,9034.61
626,8973.45
627,9014.11
628,9253.0
629,9290.02
630,9084.91
631,8878.94
632,8891.28
633,9138.69
634,8673.06
635,8962.49
636,8870.54
637,8703.57
638,8821.19
639,8733.52
640,8735.1
641,8653.05
642,8725.97
643,8939.37
644,8651.68
645,8935.09
646,8870.74
647,8848.91
648,8795.41
649,8648.71
650,8948.38
651,8766.79
652,8813.44
653,8814.25
654,8862.09
655,8663.19
656,8756.53
657,9000.43
658,9019.22
659,8982.75
660,8935.37
661,8650.53
662,8999.19
663,8720.86
664,8629.93
665,8739.22
666,8936.77
667,8668.82
668,8766.0
669,8852.32
670,8831.17
671,8934.2
672,8679.34
673,8865.31
674,8862.45
675,8848.05
676,8674.47
677,8950.12
678,9055.75
679,9078.06
680,8955.81
681,8946.92
682,8801.88
683,8953.92
684,8800.98
685,9096.06
686,8878.27
687,8829.95
688,8848.98
689,8800.45
690,9197.99
691,9062.44
692,8963.12
